project_id,project_type,location,initial_estimated_duration,initial_estimated_cost,square_footage,num_floors,soil_condition_score,complexity_score,actual_duration,actual_cost,weather_delays,avg_daily_workers,equipment_utilization_rate,safety_incidents,safety_score,defects_found,quality_score,delay_in_days,cost_overrun,cost_per_sqft,productivity_rate,cost_overrun_percentage,delay_percentage
1,Infrastructure,Site_0,192,8703422.34,79040,34,4.38,4.58,180,9056973.23,8,50,0.9,2,9.54,0,6.21,-12,353550.9,114.59,8.78,4.06,-6.25
2,Commercial,Site_1,525,9268122.2,62558,11,9.96,8.25,547,9028447.57,9,107,0.77,4,8.8,11,6.04,22,-239674.64,144.32,1.07,-2.59,4.19
3,Commercial,Site_2,360,4924151.16,87205,36,2.29,6.33,502,4797179.51,9,192,0.65,2,9.05,13,6.09,142,-126971.65,55.01,0.9,-2.58,39.44
4,Residential,Site_3,196,5067951.29,7910,17,5.47,2.49,258,6334765.38,15,137,0.84,3,9.98,5,6.03,62,1266814.08,800.86,0.22,25.0,31.63
5,Commercial,Site_4,161,9225319.89,58713,35,6.71,1.22,183,12369821.59,28,70,0.67,1,7.7,0,6.44,22,3144501.7,210.68,4.58,34.09,13.66
6,Infrastructure,Site_5,110,6077148.13,47857,18,7.01,4.26,122,6641835.55,6,95,0.75,2,8.87,21,6.96,12,564687.42,138.79,4.13,9.29,10.91
7,Residential,Site_6,704,812043.37,35964,40,2.04,5.92,683,747721.76,27,127,0.62,1,8.38,33,6.88,-21,-64321.61,20.79,0.41,-7.92,-2.98
8,Commercial,Site_7,211,9171119.9,86667,22,6.54,8.56,234,8954084.72,29,109,0.89,4,7.12,10,9.95,23,-217035.17,103.32,3.4,-2.37,10.9
9,Commercial,Site_8,556,2858151.21,26227,24,8.18,2.15,727,4140937.3,4,58,0.64,1,7.04,2,7.22,171,1282786.1,157.89,0.62,44.88,30.76
10,Residential,Site_9,304,5987503.56,6978,19,0.5,8.2,368,7161809.86,22,189,0.92,2,7.36,41,6.51,64,1174306.3,1026.34,0.1,19.61,21.05
11,Residential,Site_10,420,2072376.52,88527,37,9.12,8.77,409,2429123.05,2,11,0.9,2,8.95,5,8.18,-11,356746.53,27.44,19.68,17.21,-2.62
12,Residential,Site_11,548,821852.02,18153,39,0.3,2.36,504,758429.3,17,129,0.76,0,8.7,5,9.43,-44,-63422.73,41.78,0.28,-7.72,-8.03
13,Infrastructure,Site_12,177,3458995.13,60765,21,3.56,8.66,169,4625306.76,10,187,0.86,2,8.66,19,8.71,-8,1166311.63,76.12,1.92,33.72,-4.52
14,Industrial,Site_13,462,7914709.22,40071,8,0.16,9.92,416,9630941.49,14,132,0.82,1,7.1,20,7.18,-46,1716232.26,240.35,0.73,21.68,-9.96
15,Infrastructure,Site_14,189,3137078.14,70519,28,0.77,7.54,162,3203736.54,20,95,0.88,0,8.41,1,8.25,-27,66658.4,45.43,4.58,2.12,-14.29
16,Infrastructure,Site_15,220,2590923.53,10503,5,9.11,8.06,231,2502946.8,19,180,0.75,2,9.77,25,8.86,11,-87976.74,238.31,0.25,-3.4,5.0
17,Infrastructure,Site_16,398,2520467.45,61703,17,3.55,9.95,345,2848210.69,4,86,0.88,2,8.19,30,8.91,-53,327743.23,46.16,2.08,13.0,-13.32
18,Residential,Site_17,433,5394149.98,65379,37,4.25,6.45,391,7564201.3,23,145,0.76,4,8.87,25,8.67,-42,2170051.32,115.7,1.15,40.23,-9.7
19,Residential,Site_18,581,9767642.5,96457,36,2.15,3.77,655,13862011.0,11,68,0.93,0,9.34,31,9.48,74,4094368.5,143.71,2.17,41.92,12.74
20,Residential,Site_19,503,4860395.39,58866,19,5.97,8.54,452,6132398.91,3,21,0.77,4,9.35,9,9.48,-51,1272003.52,104.18,6.2,26.17,-10.14
21,Industrial,Site_20,475,5794401.0,17905,27,5.95,6.53,398,7744343.59,14,13,0.76,4,8.56,22,8.32,-77,1949942.58,432.52,3.46,33.65,-16.21
22,Commercial,Site_21,281,8676004.17,46838,34,3.72,6.23,278,8407859.01,8,126,0.87,4,9.57,5,7.72,-3,-268145.16,179.51,1.34,-3.09,-1.07
